model,retailer,value,final_price,html_price,rendered_price,previous_week_price,base_value,discount,promo_note,source_method,availability,availability_method,availability_text,risk_flags,confidence,decision_note,status,error,fetched_at,url
iPhone 14 128GB,Viettel,,,,,OOS,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:43,https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html
iPhone 14 128GB,FPT,OOS,OOS,13990000,13990000,OOS,OOS,0,,fpt_structured_offer_price,OOS,rendered_price_context,en thoai / apple (iphone) / iphone 14 series video mo hop thuc te hang chinh hang - bao hanh 12 thang mien phi giao hang toan quoc (*) ky thuat vien ho tro truc tuyen hang chinh hang - bao hanh 12 thang mien phi giao hang toan quoc (*) ky thuat vien ho tro ...,WARN_RENDER_STOCK_CONFIRMED|WARN_WEEK_CHANGE,VERIFIED_OOS,render confirmed OOS via rendered_price_context,OOS,,2026-09-10T15:28:44,https://fptshop.com.vn/dien-thoai/iphone-14
iPhone 14 128GB,MW,OOS,OOS,,12310000,13990000,OOS,0,,product_status_element,OOS,rendered_dom:.box04.notselling .productstatus,SẢN PHẨM Ngừng kinh doanh,WARN_RENDER_STOCK_CONFIRMED|WARN_WEEK_CHANGE,VERIFIED_OOS,render confirmed OOS via rendered_dom:.box04.notselling .productstatus,OOS,,2026-09-10T15:28:45,https://www.thegioididong.com/dtdd/iphone-14
iPhone 14 128GB,CPS,15290000,15290000,15290000,,15290000,15290000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:48,https://cellphones.com.vn/iphone-14.html
iPhone 13  128GB,Viettel,,,,,OOS,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:48,https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html
iPhone 13  128GB,FPT,11990000,11990000,11990000,,11990000,11990000,0,,fpt_variant_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:50,https://fptshop.com.vn/dien-thoai/iphone-13
iPhone 13  128GB,MW,OOS,OOS,,13990000,OOS,OOS,0,,product_status_element,OOS,rendered_dom:.box04.notselling .productstatus,Hết hàng tạm thời,WARN_RENDER_STOCK_CONFIRMED,VERIFIED_OOS,render confirmed OOS via rendered_dom:.box04.notselling .productstatus,OOS,,2026-09-10T15:28:50,https://www.thegioididong.com/dtdd/iphone-13
iPhone 13  128GB,CPS,13790000,13790000,13790000,,13790000,13790000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:53,https://cellphones.com.vn/iphone-13.html
iPhone 13  128GB,Shopdunk,12590000,12590000,12590000,,12590000,12590000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:28:54,https://shopdunk.com/iphone-13
iPad Mini 7 128GB Wifi,Viettel,,,,,13990000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:28:54,https://viettelstore.vn/may-tinh-bang/ipad-mini-7-wifi-128gb-pid342159.html
iPad Mini 7 128GB Wifi,FPT,14490000,14490000,14490000,14490000,14490000,14490000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:28:55,https://fptshop.com.vn/may-tinh-bang/ipad-mini-7-2024-wifi
iPad Mini 7 128GB Wifi,MW,14690000,14690000,14690000,,14690000,14690000,0,,mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:56,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi
iPad Mini 7 128GB Wifi,CPS,14690000,14690000,14690000,,14690000,14690000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:28:59,https://cellphones.com.vn/ipad-mini-7.html
iPad Mini 7 128GB Wifi,Shopdunk,14190000,14190000,14190000,,14190000,14190000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:29:01,https://shopdunk.com/ipad-mini-7
iPad Gen 11th  128GB Wifi,Viettel,,,,,11790000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:01,https://viettelstore.vn/may-tinh-bang/ipad-a16-11-inch-wifi-128gb-pid347940.html
iPad Gen 11th  128GB Wifi,FPT,12490000,12490000,12490000,12490000,12490000,12490000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:29:02,https://fptshop.com.vn/may-tinh-bang/ipad-a16-wifi
iPad Gen 11th  128GB Wifi,MW,12590000,12590000,12590000,,12590000,12790000,200000,"Giảm giá 200,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:03,https://www.thegioididong.com/may-tinh-bang/ipad-11-wifi-128gb
iPad Gen 11th  128GB Wifi,CPS,12490000,12490000,12490000,,12490000,12490000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:06,https://cellphones.com.vn/ipad-a16-11-inch.html
iPad Gen 11th  128GB Wifi,Shopdunk,11990000,11990000,11990000,,11990000,11990000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:29:07,https://shopdunk.com/ipad-a16-11-inch-wi-fi
"iPad Air M3  11"" 128 GB Wifi",Viettel,,,,,OOS,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:07,https://viettelstore.vn/may-tinh-bang/ipad-air-m3-11-inch-wifi-128gb-pid347926.html
"iPad Air M3  11"" 128 GB Wifi",FPT,OOS,OOS,16690000,16690000,OOS,OOS,0,,fpt_structured_offer_price,OOS,rendered_price_context,n ngay trang chu / may tinh bang / apple (ipad) / ipad air 1/7 noi bat +4 hang chinh hang - bao hanh 12 thang mien phi giao hang toan quoc (*) ky thuat vien ho tro truc tuyen hang chinh hang - bao hanh 12 thang mien phi giao hang toan quoc (*) ky thuat vien...,WARN_RENDER_STOCK_CONFIRMED|WARN_WEEK_CHANGE,VERIFIED_OOS,render confirmed OOS via rendered_price_context,OOS,,2026-09-10T15:29:09,https://fptshop.com.vn/may-tinh-bang/ipad-air-11-inch-m3-2025-wifi
"iPad Air M3  11"" 128 GB Wifi",MW,OOS,OOS,,16990000,OOS,OOS,0,,product_status_element,OOS,rendered_dom:.box04.notselling .productstatus,SẢN PHẨM Ngừng kinh doanh,WARN_RENDER_STOCK_CONFIRMED,VERIFIED_OOS,render confirmed OOS via rendered_dom:.box04.notselling .productstatus,OOS,,2026-09-10T15:29:10,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-wifi-128gb
"iPad Air M3  11"" 128 GB Wifi",CPS,OOS,OOS,,17990000,17990000,OOS,0,,structured_offer_availability,OOS,structured_offer_availability,OutOfStock; https://cellphones.com.vn/apple-ipad-air-m3.html,WARN_WEEK_CHANGE,OOS_CONFIRMED,trusted stock signal reported OOS via structured_offer_availability; render retained price without stock text,OOS,,2026-09-10T15:29:12,https://cellphones.com.vn/apple-ipad-air-m3.html
"iPad Air M4  11"" 128 GB Wifi",Viettel,,,,,18290000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:13,https://viettelstore.vn/may-tinh-bang/ipad-air-m4-11-inch-wifi-128gb-pid363675.html
