week_id,week_number,quarter,fiscal_year,category,raw_model,canonical_model,capacity,partner,price_vnd,stock_status,price_change_note,source_sheet,source_row,source_url,mapping_status,import_batch_id
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 13' 256Gb,"MacBook Air 13"" M3 8/256GB",256GB,Shopdunk,27350000,In stock,,W4Q3FY24,13,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 15' 256Gb,"MacBook Air 15"" M3 8/256GB",256GB,CPS,32490000,In stock,,W4Q3FY24,14,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 15' 256Gb,"MacBook Air 15"" M3 8/256GB",256GB,FPT,,OOS,,W4Q3FY24,14,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 15' 256Gb,"MacBook Air 15"" M3 8/256GB",256GB,MW,32690000,In stock,,W4Q3FY24,12,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 15' 256Gb,"MacBook Air 15"" M3 8/256GB",256GB,Shopdunk,32450000,In stock,,W4Q3FY24,14,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M2,MacBook Pro M2,,FPT,,OOS,,W4Q3FY24,19,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M2,MacBook Pro M2,,Shopdunk,29290000,In stock,,W4Q3FY24,19,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 14',MacBook Pro M3 14',,CPS,37690000,In stock,,W4Q3FY24,15,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 14',MacBook Pro M3 14',,FPT,,OOS,,W4Q3FY24,15,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 14',MacBook Pro M3 14',,MW,38690000,In stock,,W4Q3FY24,13,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 14',MacBook Pro M3 14',,Shopdunk,37490000,In stock,,W4Q3FY24,15,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 Max 14',MacBook Pro M3 Max 14',,CPS,77990000,In stock,,W4Q3FY24,16,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 Max 14',MacBook Pro M3 Max 14',,FPT,79190000,In stock,,W4Q3FY24,16,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 Max 14',MacBook Pro M3 Max 14',,MW,79490000,In stock,,W4Q3FY24,14,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Pro M3 Max 14',MacBook Pro M3 Max 14',,Shopdunk,76990000,In stock,,W4Q3FY24,16,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 9th (Wi-fi 64GB),iPad 9th (Wi-fi 64GB),64GB,CPS,6990000,In stock,,W4Q3FY24,23,,Mapped,price_check_62813eb26afe
